model,threshold,params,train_time_sec,train_f1,train_roc_auc,train_log_loss,f1,roc_auc,log_loss
Model 0.1: Majority class baseline,,,,,,,0.0,0.5,0.6585279444319896
Model 0.2: cosine similarity,0.4500000000000001,,,,,,0.6162398614781737,0.7224046969948092,2.0003065213031133
Model 1 - Logistic regression,,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': None, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8761610984802246,0.6224575413013916,0.7364583976067138,0.5851502053720382,0.6238948309546674,0.7387834113089156,0.583852283199588
Model 2 - XGBoost baseline,,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.5303733348846436,0.6164427970909563,0.806809913468728,0.49777185916900635,0.5928846903843654,0.7888907865027428,0.5148181915283203
Model 2: XGBoost (Optuna-tuned),,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.862362624298951, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.030313286851423513, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 471, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9244657678913443, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",4.361333608627319,0.6611281013094418,0.8415222117270854,0.46744999289512634,0.6002505183137526,0.7928152765622362,0.511030912399292
Model 0.1: Majority class baseline,,,,,,,0.0,0.5,0.6585279444319896
Model 0.2: cosine similarity,0.5000000000000001,,,,,,0.6182269063856168,0.7230482081742275,1.9889037628660329
Model 1 - Logistic regression,,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': None, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",0.8883757591247559,0.6199579247874455,0.7364004697254173,0.5859605109679442,0.6215937790774957,0.7378442207246111,0.5851548250556912
Model 2 - XGBoost baseline,,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.5206782817840576,0.6220300985765926,0.8091694986013536,0.49496975541114807,0.6009385628794076,0.7912976494296973,0.5126573443412781
Model 2: XGBoost (Optuna-tuned),,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.9373159608696207, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0338111363961358, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 345, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8439582974140513, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",3.032982110977173,0.6595120800656135,0.8390350146317096,0.4690368175506592,0.6065669070944127,0.7952701865971896,0.5092157125473022
Model 0.1: Majority class baseline,,,,,,,0.0,0.5,0.6585279444319896
Model 0.2: cosine similarity,0.3500000000000001,,,,,,0.6266096941397589,0.7210430000241114,1.6729880248627447
Model 1 - Logistic regression,,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': None, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.1001803874969482,0.6359198579005553,0.7414383355829675,0.5741755097470884,0.6376465515811817,0.7429114384039667,0.5734480348695928
Model 2 - XGBoost baseline,,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.5323588848114014,0.6413414316968316,0.8134097625456912,0.4865590035915375,0.6190145164588019,0.7940800168066466,0.5048845410346985
Model 2: XGBoost (Optuna-tuned),,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7662123073066052, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.042350752312938916, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 346, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.7363503820720566, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",2.997735023498535,0.6837988712579748,0.8500106002574006,0.45567476749420166,0.6255029148534362,0.7980687148822856,0.5016635656356812
Model 2 - XGBoost baseline,,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.4618229866027832,0.6413414316968316,0.8134097625456912,0.4865590035915375,0.6190145164588019,0.7940800168066466,0.5048845410346985
Model 0.1: Majority class baseline,,,,,,,0.0,0.5,0.6585279444319896
Model 0.2: cosine similarity,0.3500000000000001,,,,,,0.6266096941397589,0.7210430000241114,1.6729880248627447
Model 1 - Logistic regression,,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': None, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.3625342845916748,0.6358961193832089,0.7414383135839459,0.5741612826492046,0.6376782752902156,0.7429116795579442,0.5734338014072905
Model 2 - XGBoost baseline,,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.6305148601531982,0.6413414316968316,0.8134097625456912,0.4865590035915375,0.6190145164588019,0.7940800168066466,0.5048845410346985
Model 0.1: Majority class baseline,,,,,,,0.0,0.5,0.6585279444319896
Model 0.2: cosine similarity,0.3500000000000001,,,,,,0.63113377147741,0.73442959225784,1.1061281457092904
Model 1 - Logistic regression,,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': None, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.1951019763946533,0.6779808269700054,0.7931786604767809,0.5243319554331859,0.6795781857893659,0.7948072037984095,0.5226725275407242
Model 2 - XGBoost baseline,,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': None, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': None, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': None, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': None, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': None, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.746345043182373,0.7174153388767595,0.8549378139226704,0.4314707815647125,0.7009504602916736,0.837538379706826,0.4497517943382263
Model 2: XGBoost (Optuna-tuned),,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7447744907808989, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': True, 'eval_metric': None, 'feature_types': None, 'feature_weights': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.028189590539768855, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 10, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 451, 'n_jobs': None, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.9034024812367872, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",3.89713978767395,0.7437611678477953,0.8815534239581166,0.40614843368530273,0.7027360625385723,0.841197423373806,0.4465537667274475
Model 3 - Sentence Transformer (bi-encoder),0.6000000000000002,,,0.8655789521672399,0.9576900085700748,0.2920401274532791,0.8250513843549752,0.9359661278119693,0.3482835890364064
Model 4 - LLM few-shot (Claude API),0.5,,,,,,0.8311688311688312,0.9405458581374231,0.31327522353705356
Model 3 - Sentence Transformer (FINAL TEST SET),0.6,,,,,,0.824745926762381,0.9359817531943184,0.34880331158638
Model 0.1: Majority class baseline,,,,,,,0.0,0.5,0.6585279444319896
Model 0.2: cosine similarity,0.3500000000000001,,,,,,0.63113377147741,0.73442959225784,1.1061281457092904
Model 1 - Logistic regression,,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': None, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.116044044494629,0.6779808269700054,0.793179196919394,0.5243335416745627,0.6795781857893659,0.7948078333642188,0.5226740353797713
Model 0.1: Majority class baseline,,,,,,,0.0,0.5,0.6585279444319896
Model 0.2: cosine similarity,0.3500000000000001,,,,,,0.63113377147741,0.73442959225784,1.1061281457092904
Model 1 - Logistic regression,,"{'C': 0.1, 'class_weight': 'balanced', 'dual': False, 'fit_intercept': True, 'intercept_scaling': 1, 'l1_ratio': 0.0, 'max_iter': 1000, 'n_jobs': None, 'penalty': 'deprecated', 'random_state': None, 'solver': 'sag', 'tol': 0.0001, 'verbose': 0, 'warm_start': False}",1.1360461711883545,0.6779780841286673,0.7931801379708338,0.5243259559703245,0.679567250264496,0.7948088436454565,0.5226663770003753
